"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bangladesh",204,"Z_TOTAL","seaweeds",0.1,280.1,205.1,153.1,155.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,6,6,6,7
"Bangladesh",204,"Z_TOTAL","shells",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Barbados",124,"Fish liver oils, nei","fish_oil",4179.93258298089,5056.66119619502,3355.10362776865,4508.38584258891,4568.8972288405,2803.96279337939,3228.41103730016,8249.60265236173,8417.66266146015,1989.7272211401,2632.15347743792,7484.34011374019,5190.30486409513,12502.6662480186,42348.384629475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
"Barbados",124,"Miscellaneous corals and shells","shells",716,619,506,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Natural sponges nei","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,125,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Ornamental fish nei","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.540907646929554,15.9395673473409,31.1476767930908,2,1,1,2,0,7,4,32,2,12,0,1,52,0,1,0.1,0,0,2,0,0,0,0,0
"Barbados",124,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,277,2,14,0.1,0,0,0,0,0,0,0,0,429.163081993262,0,0,0,0,0,0,0,0,44,223,202,515,0,0,0,0,0
"Barbados",124,"Z_TOTAL","fish_oil",4179.93258298089,5056.66119619502,3355.10362776865,4508.38584258891,4568.8972288405,2803.96279337939,3228.41103730016,8249.60265236173,8417.66266146015,1989.7272211401,2632.15347743792,7484.34011374019,5190.30486409513,12502.6662480186,42348.384629475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
"Barbados",124,"Z_TOTAL","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.540907646929554,15.9395673473409,31.1476767930908,2,1,1,2,0,7,4,32,2,12,0,1,52,0,1,0.1,0,0,2,0,0,0,0,0
"Barbados",124,"Z_TOTAL","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,277,2,14,0.1,0,0,0,0,0,0,0,0,429.163081993262,0,0,0,0,0,0,0,0,44,223,202,515,0,0,0,0,0
"Barbados",124,"Z_TOTAL","shells",716,619,506,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barbados",124,"Z_TOTAL","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,125,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Agar agar nei","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272.38339293404,0,1301.41049934981,1322.49586755667,0,0,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Fish body oils, nei","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5.32460379175245,21.6735771558342,37.5453245067438,0.1,0,0,0.1,0.1,0,1,0,6
"Belgium",59,"Halibuts, liver oils","fish_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.23653000670038,1.16615572518822,2.06119573902379,3.47418818433198,4.82894929119038,3.06373658006737,4.08749849994933,11,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Miscellaneous corals and shells","shells",2,2,3,2,3,2,3,3,5,5,5,42,75,65,62,33,10,0,0,0,0,0,1003,0,0,0,0,0,0,1.67480941088547,0,0,0,0,0,0,0,0,0,0,0
"Belgium",59,"Natural sponges other than raw","sponges",93,80,57,219,168,149,294,78,90,51,73,18,13,12,10,8,19,139,8,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,10,0,0.1,28,1,38,0,0,0,12
"Belgium",59,"Natural sponges raw","sponges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.1,7,1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
"Belgium",59,"Ornamental saltwater fish","ornamentals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479.190468968736,461.723386605074,440.258795677735,419.969942563243,399.994619532175,384.17357010649,364.668542200561,346.339252107471,328.323492097814,310.464497129869,293.467709891338,0.574093484419263,0,0.126813031161472,1,0.1,0,0.1,1,1,0.1,0.1
"Belgium",59,"Other seaweeds and aquatic plants and products thereof","seaweeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.1,3,0,4,43,64,86,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
